제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
쏭내관과 함께하는 랜선궁궐기행 종합편,30차시,2023-12-18,5,색다른 역사 연수,조선시대 5대 궁궐의 역사를 통해 궁궐내에서 발생한 역사이야기를 흥미롭게 구성한 재미있는 역사연수였습니다. 5대 궁궐 탐사 여행을 하고 싶습니다.,학습지도,"75,000원",전체대상,1
다름을 이해하는 교실 속 통합교육,30차시,2023-12-18,5,통합확급,통합학급 경영에 대한 아이디어를 얻었습니다..,생활지도,"65,000원",전체대상,1
"학습격차, 차이를 넘어 함께 성장하기",15차시,2023-12-18,5,학습부진,학습부진의 원인을 이해할 수 있었습니다.,학습지도,"40,000원",유초등,1
EBS다큐프라임으로 배우는 생태전환교육,30차시,2023-12-18,5,힐링,"영상이 아름답고, 힐링의 시간이 되었습니다.",학습지도,"75,000원",전체대상,1
설민석의 한국사능력검정시험[심화]-상,30차시,2023-12-18,5,한국사 능력검정,재미있는 강의를통해 한국사에 흥미가 커졌습니다.,학습지도,"75,000원",전체대상,1
"학생자치, 우리가 만드는 학교 민주주의",15차시,2023-12-18,5,학생자치활동,학생자치활동에대한 이해 및 운영의 다양한 아이디어를 얻었습니다.,생활지도,"40,000원",전체대상,1
선생님을 위한 자산관리 '3원칙 7단계' 핵심 노하우,15차시,2023-12-18,5,자산관리의 현실적인 방법을 알려준 연수,"성실하고 실질적인 내 자산 관리의 노하우를 차근차근,  소박하게 알려준 연수였고  좀 더 빨리 알았으면 하는 아쉬움과 세테크 등 은퇴 이후의 자산관리에 대한 연수도 기대해 봅니다.",자기계발,"40,000원",전체대상,1
시크릿 플레이리스트 슈퍼콘서트,30차시,2023-12-18,5,30차시 내내 힐링시간,"포근한 목소리의 두 MC가 소개해주는 노래소리와 가수들의 진솔한 이야기들이 진정한 쉼을 느끼게 해주는 연수였습니다. 모처럼 부담없는 연수, 잘 들었습니다.",자기계발,"85,000원",전체대상,1
"[컬러테라피] 감성을 그리는 시간, 수채화로 떠나는 컬러링 여행",15차시,2023-12-18,5,맑고 밝은 색감,그림이 아주 어려운 작업인 줄 알았는데 자세하고 차근차근 알려주니 해볼 수 있겠다는 생각이 들고 컬러링하는 가운데 예쁜 색을 보면서 힐링되고 정리되는 느낌입니다. 예술은 우리 삶을 새롭게 만들고 아름답게 꾸며주는 듯합니다. ,자기계발,"40,000원",전체대상,1
시크릿 플레이리스트 슈퍼콘서트,30차시,2023-12-18,5,대중음악의 힘,우리 생활에서 친근하게 접할 수 있는 대중음악은 우리 생활에 녹아 슬픔과 기쁩을 함께 하며 우리가 살아가는 힘을 주고 사람들과 함께 어울릴 수 있는 끈이 되어 준것 같아 고맙고 소중하게 느껴집니다. 가수나 연예인들은 멀리 무대에만 있는 줄 알았는데 이헌석 평론가님과 이세준 님 가깝게 느껴집니다.  건강하시고 좋은 음악 많이 들려주세요. 고맙습니다. ,자기계발,"85,000원",전체대상,1
양수쌤의 한 방에 끝나는 놀이체육,30차시,2023-12-18,5,아주 좋은 연수입니다.,체육수업을 즐겁게 진행할 수 있는 여러가지 방법을 알게 되었습니다.,교과지도,"75,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2023-12-18,5,유익한 연수 였습니다~,회화 위주의 연수여서 많은 도움이 되었습니다,ICT,"40,000원",전체대상,1
지나영의 본질육아,30차시,2023-12-18,5,너무 좋은 연수,너무 좋아하는 강의에요 아이키우는데 도움이 많이 됩니다,자기계발,"85,000원",전체대상,1
시원스쿨 생기초 말하기 2,30차시,2023-12-18,5,복잡하고 희미한 기억이 정리정돈 되는 기분이 듭니다.,"시간이 나면 해야지, 은퇴하고 해야지 하던 것을 생각바꿔 기초부터해두자 싶어서 한 연수인데 기대 만큼 잘 한 것 같습니다._x000D_
쉬워도 쉬운게 아닌 영어 어순을 반복하고 흔하게 나오는 단어들을 더 활용할 수 있도록 하는 연수여서 좋았습니다._x000D_
앞으로 더 해보고싶은 마음이 생기게 하는 연수이고, 복습도 해야지 하고 생각하게 만듭니다. _x000D_
시원스쿨 강추합니다~~~",어학,"75,000원",전체대상,1
스피킹맥스 현지에서 통하는 왕기초 영어회화 패턴 120,30차시,2023-12-18,5,좋아요,유용하게 쓰일 것 같아서 만족합니다,어학,"75,000원",전체대상,1
"학급의 기적, 미덕의 힘이다.(버츄프로젝트)",30차시,2023-12-18,5,아이들에게 좋은 미덕의 보석!,미덕의 보석으로 학급을 꾸리니 여러모로 장점이 많아 참 좋았습니다!,학급경영,"65,000원",전체대상,1
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",15차시,2023-12-18,5,쳇GPT 강의 ,쳇GPT 강의 중 가장 간편한 메뉴와 알기 쉬운 연수였습니다. 다른 분들께도 추천드립니다. ,학습지도,"50,000원",유초등,1
말로 통하는 슬기로운 교사 생활,30차시,2023-12-18,5,필수 연수로 선택하면 좋겠습니다.,근래 들었던 연수 중에 아주 좋은 연수였다고 생각합니다. 모든 교사에게 권장하고 싶습니다.,자기계발,"75,000원",유초등,1
김영철·타일러의 진짜 미국식 영어,30차시,2023-12-18,5,일상 생활에서 말하고 싶었던 문장들이 많이 나옵니다.,"라디오에서 한귀로 듣고 흘리기만 했던 것을 정리하기 좋은 연수입니다. 일상생활에서 이런 뉘앙스로 말하고 싶었던 문장들이 많습니다. 또한 영어 뿐만아니라 문화도 함께 배울 수 있습니다. 타일러의 문장 말고도 비슷한, 반대되는 문장표현들도 다양하게 들어있어서 더 좋습니다. pdf파일 문장들 정리해서 반복학습하려고 합니다.",어학,"75,000원",전체대상,1
유럽여행을 위한 미술 이야기,30차시,2023-12-18,5,교직 생활 중 꼭 한번은 들어보시길~~,강의 내용이 알차고 교직 생활 하는데 많은 도움이 될 강의였습니다. ,자기계발,"75,000원",전체대상,1
"골프, 초보에서 필드까지",30차시,2023-12-18,5,연수 듣는 기간에 즐거움이 가득,편안한 마음으로 연수를 들을 수 있었고 듣는 기간 중 즐거움이 가득한 연수였습니다.,자기계발,"85,000원",전체대상,1
현아샘의 단단하고 따뜻한 그림책 학급운영,30차시,2023-12-18,5,독학을 돕는 연수,"연습을 많이 못해서 아쉬웠지만 남은 시간 동안 더 독학학습 있도록 도와주는 좋은 연수입니다. (교재도 구매함,)",학급경영,"75,000원",유초등,1
설민석의 한국사능력검정시험[심화]-하,30차시,2023-12-18,5,유익한 강의 였습니다..,알음알음 알았지만 PPT 강의를 듣고  정확히 알았다고 표현할 수 있을 둣 합니다..,학습지도,"75,000원",전체대상,1
팝스 잉글리시 1,30차시,2023-12-18,5,유익한 강의였습니다.,자연스럽게 영어와 친해지는 방법이 아니가 싶어요~,어학,"65,000원",전체대상,1
교사를 위한 15가지 마음 공부,15차시,2023-12-18,4,나와 관계를 이해하는데 도움이 되는 연수,인간 보편적인 심리와 인간 관계에서 오는 여러 현상들을 이해하게 되어서 자신과 관계를 조명하는데 많은 도움이 되었습니다.,생활지도,"50,000원",전체대상,0
"학습격차, 차이를 넘어 함께 성장하기",15차시,2023-12-18,5,구체적인 방법을 제시하는 연수,"연수를 통해 저학년에서의 한글 교육, 연산 지도 방법, 3줄 글쓰기, 동화를 통한 어휘력 지도 등 구체적인 방법을 배울 수 있어 좋았습니다. ",학습지도,"40,000원",유초등,1
"장애공감교육, 달라도 괜찮아",5차시,2023-12-17,5,장애인식교육에 큰 도움이 됩니다.,"모든 선생님들에게 꼭 추천드립니다_x000D_
저에게 큰 도움이 되었습니다._x000D_
만족합니다. 이 배움을 바탕으로 학생을 잘 지도하겠습니다._x000D_
감사합니다.",생활지도,"15,000원",전체대상,1
"가장 쉬운 수업도구, 패들렛과 띵커벨",15차시,2023-12-17,5,아주 실용적이고 유용한 연수! 강추합니다!,패들렛과 띵커벨 혼자 독학해서 일부 기능만 사용 중이었는데 다양한 활용법을 알려주셔서 너무 감사합니다. 학기초에 좀더 일찍 들었다면 수업 시간에 잘 써먹었을텐데 이제야 알게 돼서 너무 아쉽네요. 최근 패들렛이나 띵커벨 기능이 많이 업데이트 되었는데 연수 내용도 새로 업데이트하여 제공한다면 다시 수강하고 싶은 연수입니다.,ICT,"40,000원",전체대상,1
소중한 아이들을 위한 행복한 성교육,30차시,2023-12-17,5,소중한 아이들을 위한 행복한 성교육,필요한 내용이었다고 생각하지만 너무 지루하고 강사님이  대본을 그대로  읽고 생동감이 없었다고 생각합니다. 옷도 좀 갖춰 입고 나왔으면 합니다. 성의 없게 보였어요.,생활지도,"75,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2023-12-17,5,역사 지식이 지혜가 되는 강의,본 연수를 완수함으로 아이들에게 흥미를 유발하며 수업을 시작하고 싶었다. 과거 사건을 통해 아이들에게 역사를 통한 지혜를 주며 수업을 이끌고 싶었고 역사를 통해 과거를 보며 세계를 이해하는 눈을 알기를 바랐다. 연수를 들으며 바쁜 일정에 시간을 내어 공부하기가 쉽지 않았었으나 다른 강의와 다른 짧은 강의를 통해 빠른 시간에 역사의 큰 흐름을 정리할 수 있어 만족스러웠고 역사적 개념들을 쉽고 재미있게 풀이하되 핵심 개념들은 확실히 강조되어 있어 누구나 쉽게 볼 수 있는 강의인 듯 싶었다. 하나의  강의 끝에는 강의 내용을 하나의 짧은 판서 정리된 것을 보여주어 중간중간 놓치는 부분 없이 알찬 강의를 감사히 들을 수 있었다.,교과지도,"75,000원",전체대상,1
한국어교원양성과정 Ⅰ,30차시,2023-12-17,3,어려워요.,어렵다는 이야기 듣고 매번 망설이다 듣긴 들었는데 역시 어렵네요. 외국인에게 한국어를 가르치는데 이렇게 어려운 것까지 해야 하나 고민이 되네요. 일부는 알아두면 좋을 것 같지만 일부는 너무 학문적이라서... ,자기계발,"75,000원",전체대상,0
한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,15차시,2023-12-17,5,아주 좋아요.,새로운 느낌의 강의였어요. 출퇴근길에 듣기에 부담없이 좋았어요.,학습지도,"40,000원",전체대상,1
안전교육 SOS - 아이들을 부탁해!,30차시,2023-12-17,5,아주 좋아요.,필수연수라 들었는데 문안합니다. ,학습지도,"65,000원",전체대상,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2023-12-17,5,아주 좋아요.,좋습니다. 문안합니다. 서로 대화하면서 진행되어 지루하지는 않아요,생활지도,"75,000원",전체대상,1
야나두 미국에서 한 달 살기- 현지 토크 편,15차시,2023-12-17,5,실생활에서 요긴하게 쓰일 토픽에 대한 대화 연습,"실생활에서 요긴하게 쓰일 토픽들을 추려 대화 예시를 보여줍니다. 아울러 미국 생활에 대한 상식, 짧은 이야기 들도 접할 수 있어서 미국 이민이나 한달살기를 고려하는 분들께 유용할 것 같습니다. 아울러 원어민강사 관리 업무를 맡으신 영어전담선생님들도 원어민선생님과 대화하는 데 필요할 만한 생활 토픽 대화들이라 유용하리라 기대됩니다. ",어학,"40,000원",전체대상,1
"우리 반 마음 탐구, 교실 심리학",30차시,2023-12-17,5,아주 좋아요.,학급에서 아이들을 대상으로 생각하면서 들으면 효과적입니다. ,생활지도,"85,000원",유초등,1
네이티브는 쉬운 중국어로 말한다,30차시,2023-12-17,5,중국어 기초가 어느정도 있으신 상태에서 실생활표현으로 한단계 업그레이드 하실분,"드라마나 일상생활에서 자주 표현되는 문장들을 모아서 듣는데요, 저는 중국어 기초가 없는 편이라 뭔가 두서없는 느낌이 들었습니다. 어느정도 기초 기본이 되어 있으신 상태이시라면 이 연수를 통해 한단계 업그레이드 되어 드라마나 영화를 보시기 편하게 되지 않을까 싶습니다. 책을 같이 샀는데, 책은 1000문장이고 본 연수는 500문장에 대한 설명이 들어가 있네요. 30강이나 듣다보니 나중에는 어느정도 겹치는게 있어 이해가 조금 되기는 하는데,,, 뭔가 두서없다는 생각이 강하게 드는 그런 힘든 시간이었습니다... 그리고 영상이 6분, 7분 단위로 쪼개져 있어서 좀 불편했어요. 걍 30분정도짜리 통짜 영상으로 구성된다면 더 여러번 듣기 좋을 것 같습니다. ",어학,"75,000원",전체대상,1
소설 파친코와 썬킴의 한국근현대사,15차시,2023-12-17,5,일단 집중하며 듣게 되네요!,꼬꼬무 프로그램처럼 썬킴 스토리텔러가 해박한 지식으로 역사 이야기를 술술 잘 해주시니 집중해서 듣게 되네요. 연수 완전 집중해서 들은게 진짜 오랜만인 것 같습니다! 시험볼 때도 술술 풀게 되어 너무 좋았어요! 15차시 연수라서 부담없이 듣기 좋은 것 같습니다!,교과지도,"50,000원",전체대상,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2023-12-17,5,"따로 또 같이, 더불어 살아가야 할 이유!","따로 또 같이, 더불어 살아가야 할 이유를 편안하고 다양한 사례로 이야기 해 주는 연수 입니다. 추천!",생활지도,"75,000원",전체대상,1
"공간의 재발견, 정리의 힘",15차시,2023-12-17,5,바로 실천하러 고고!,"학교, 가정, 내 주변의 모든 것에 변화를 가져다 줍니다. 정말 정리의 힘이 느껴지게 만드는 연수로 추천합니다~",자기계발,"40,000원",전체대상,1
"김영철, 타일러의 진짜 미국식 영어2",30차시,2023-12-17,5,재미있게 배우는 미국식 영어,"김영철의 재미와 타일러의 똑똑함이 묻어 나는 연수, _x000D_
교양처럼 재미있게 들을 수 있는 연수~",어학,"75,000원",전체대상,1
"더 나은 교실, 더 나은 미래를 위한 ESG 교육",15차시,2023-12-17,5,변하고 있는 세상을 보고 알게 해주는 연수,ESG~ 더이상 미룰 수 없는 이 시대에 꼭 필요한 사회적 요청입니다. 지속 가능한 행복한 미래를 꿈꾼다면 들어야 하는 연수로 추천합니다. ,자기계발,"40,000원",전체대상,1
"힐링여행, 유네스코 세계문화유산을 찾아서",60차시,2023-12-17,5,너무나도 유익한 연수,"연수 수강까지 거의 1년이 걸렸습니다. 처음에는 대충 볼 생각도 있었으나 들으면 들을수록 너무나도 재미있는 연수였기에 연수에 푹 빠져서 정말 시간가는 줄 모르고 연수를 들었습니다. 누구나 사람에게 주어진 시간이 한정적이므로 전세게를 다 가볼 수는 없을 것입니다.  하지만 이 연수를 통해서 세계 여러 나라들에 대하여 폭넓은 이해를 할 수 있었습니다. 이 연수만큼은 연수 수강 기간에 제한을 두지 않았으면 좋겠습니다. 좋은 연수를 제공하신 아이스크림연수원 관계자분들과 연수를 진행해주신 김용범감독님께 진심으로 감사드립니다. 연수를 끝났지만 계속 연수 수강 기간 동안 연수를 계속 들을 생각입니다.    _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",자기계발,"130,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2023-12-17,5,별쌤 최태성의 별★별한국사,한국사는 이해하기 쉽고 재미있게 설명해 주시는 최태성 선생님의 강의 너무 고맙습니다. ^^ 역사를 더 잘 알고 싶고 지혜로운 삶을 살고 싶어요~,교과지도,"75,000원",전체대상,1
"김선현의 그림치유, 날지 않는 꿈도 괜찮아",15차시,2023-12-17,5,명화와 접목한 힐링 연수,명화와 접목해 마음을 다독이는 힐링 연수가 좋았다. MBTI의 간결한 요약도 도움이 많이 되었다.,자기계발,"50,000원",전체대상,1
온라인에서도 놀자! 허쌤의 비접촉놀이,10차시,2023-12-17,5,온라인에서도 놀자! 허쌤의 비접촉놀이,다양한 놀이 방법을 알게 된 좋은 연수~,학습지도,"30,000원",유초등,1
"내생애 한번쯤, 세계문화유산 여행",30차시,2023-12-17,5,"내생애 한번쯤, 세계문화유산 여행",해외 여행을 가기 전 듣고 가면 좋은 연수~,자기계발,"75,000원",전체대상,1
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",15차시,2023-12-17,5,볼 게 많아 복잡한 이탈리아 도시 정리에 딱!,"국가 전체가 거의 유적지고 볼 것도 워낙 많은 곳이라 공부하기에 엄두가 안 났습니다. 그런데 도시별로, 문화별로 주제에 맞게 강의 자료가 정리되어있어서 여행 루트대로 한 번 보고, 또 주제에 맞게 한 번 볼 수 있어서 여행 전 정리하기에 딱 좋은 연수입니다. 가이드분이 직접 가서 설명을 해주시니 가이드 투어하는 느낌이 나고, 스튜디오에서 진행자분들이 한 번 더 정리해주시니 비슷한 입장으로서 공감도 되었습니다. 한두번 들어서는 아직 완벽히 정리가 안되어 시험도 조금 헷가리는 부분들이 있어서 여행 가기 전에 계속 돌려 들을 생각입니다. 교사에 맞는 좋은 연수 만들어주셔서 감사합니다.^^",자기계발,"50,000원",전체대상,1
[캠브리지] English Grammar in Use,60차시,2023-12-17,5,영어공부에 탁월,교재 내용도 알차고 유익함,어학,"140,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2023-12-17,5,너무나 유익한 실전 연수!,"현장에서 바로 바로 활용가능하고, 또 기초적인 내용들을 충실히 다뤄주신 좋은 연수입니다. 강추해요^^",ICT,"40,000원",전체대상,1
[캠브리지] English Grammar in Use,60차시,2023-12-17,5,정말 최고의 연수입니다. 오랜만에 영어 공부를 해서 기분이 좋습니다. ,60시간 연수가 필요한 상황이긴 하지만 절박한 상황은 아니라 상식도 쌓고 오랜만에 영어 공부도 할 겸하여 문법 연수를 신청하였습니다. 문법 연수이긴 하나 문장을 읽고 쓰며 회화 공부도 많이 되었고 강의 교재가 좋아 평생 활용할 수 있을 것 같습니다. 또한 출석 고사가 어려운 보통의 60시간 연수와 달리 교재와 강의의 핵심 내용에 충실한 시험이어서 많이 놀랐습니다. 정말 유익하고 시험까지 기분좋게 보고 오고 올 수 잇었습니다. 시험이 이 정도 난이도면 공부 한 번 제대로 해 볼것 하는 아쉬움이 남는 연수 시험이었습니다. 수강생이 많지 않아 96점이 필요하신 분들은 신중히 선택하시기 바라며 단 저처럼 영어 공부 오랜만에 해 보고 싶으신 분들에게는 강추하는 연수입니다. ,어학,"140,000원",전체대상,1
"핸드메이드 감성 소품, 리본공예",15차시,2023-12-17,5,평소 배우고 싶었던 연수에요  ,"평소 리본에 관심이 많았는데 배울 수 있는 기회가 되어서 좋았습니다. 여러번 반복해 보면서 다양한 작품을 만들어 보면서 성취감, 마음이 힐링되는 기회가 되었습니다. 감사합니다. ",자기계발,"50,000원",전체대상,1
미래 인재를 위한 디지털 리터러시,15차시,2023-12-17,5,디지털 리터러시,궁금한 내용을 간략하게 잘 요약해줘서 쉽게 잘 들었습니다.,학습지도,"50,000원",전체대상,1
"마음을 이어주는 마법, 타로 이야기",30차시,2023-12-17,5,최고의 타로 연수,제가 타로에 관심이 많아서 여러 연수도 들어보고 책도 많이 사서 봤지만 아이스크림 타로 연수가 단연코 최고의 연수입니다. 타로를 처음 접하시는 분들도 쉽게 배우실 수 있도록 연수가 아주 체계적이고 깔끔합니다. 학교에서 학생들 상담할 때 타로를 자주 사용하고 있는데 정말 만족스럽습니다. 꼭 들어보세요^^ 강추합니다~,자기계발,"75,000원",전체대상,1
"종이 위에 사각사각, 손글씨 & 다이어리 꾸미기",15차시,2023-12-16,5,다양한 쓰기의 즐거움,다양한 재료로 손글씨의 즐거움을 알게 해준 연수였습니다. 평소에 관심 있었는데 이렇게 편하게 온라인 연수로 들을 수 있어서 좋네요.,자기계발,"40,000원",전체대상,1
여행과 문화로 배우는 맛있는 스쿨 - 일본어 편,15차시,2023-12-16,5,일본어 기초편,"일본어 간단한 단어부터 기초 회화까지 갖추어진 알찬 강의였습니다._x000D_
_x000D_
중간중간 일본의 주요 도시 설명까지 간략하게 해주셔서 수업으로 과열된(?) 머리를 식힐 수 있었고 흥미로웠습니다.",어학,"40,000원",전체대상,1
알아두면 쓸모있는 교직실무,60차시,2023-12-16,5,한번은 들어볼만한 연수,오늘 출석고사 치르고 왔습니다. 다행히 이수는 될거 같아서 뿌듯합니다. 공부가 쉽지는 않았지만 열심히 한 보람이  있었고  새롭게 정리된 부분도 많아서 한번쯤 들어볼만한 연수였습니다.,자기계발,"130,000원",전체대상,1
뜻밖의 일상 행복화실,30차시,2023-12-16,5,뜻박의 일상 행복화실,"천천히 그림을 완성해나가는 과정이 행복하고  뿌듯함이 무언지 알 수 있었습니다.  마음하나로 그림 그리기 도전의 첫걸음, 탁월한 선택이었습니다. 뜻밖의 일상 행복화실 강의제목 그 자체입니다. 소질 NO ^^",자기계발,"75,000원",전체대상,1
추억 소환! 종이접기 리턴즈,15차시,2023-12-16,2,적용하기가 어려워요,"저학년에 적용하려고 했는데 생각보다 난이도가 있어 제게도 어려운 종이접기가 몇 있었어요. 시험도 어려웠어요._x000D_
사부작사부작 재미는 있었으나 활용도면에서는 아쉽습니다.",학습지도,"40,000원",전체대상,0
뚜루뚜루와 함께 처음 시작하는 AI 코딩,15차시,2023-12-16,4,좋은 교육 정보를 알게 됨,알찬 구성으로 짧은 시간에 엔트리를 통한 AI 코딩 관련 기본적인 것들을 잘 알게 되었습니다. 뚜루뚜루 로봇을 조금 더 싼 가격으로 교재와 함께 패키지로 했으면 합니다. 고맙습니다.,학습지도,"50,000원",유초등,0
유럽여행을 위한 미술 이야기,30차시,2023-12-16,5,재미있고 깊이있는 미술연수,"미술이야기와 함께 미술가, 작품에 대한 전체적인 이해를 할 수 있어서 좋았습니다!",자기계발,"75,000원",전체대상,1
야나두 미국에서 한 달 살기- 현지 생활 편,30차시,2023-12-15,5,미국에서 한달살기는,굉장히 현실적이면서 다양한 주제로 구성되어 있어서 진짜 미국에 있는 것 같은 느낌이 들 정도로 흥미있는 짜임이었다.식기세척기 사용법이라던가 심지어 변기뚫는 도구 빌리기 같은~ 현실생활에서 유용하게 활용할 만한 내용으로 되어 있어서 많은 도움이 되었다.,어학,"75,000원",전체대상,1
연수로 완성하는 아이스크림 과학 교과서(4학년),15차시,2023-12-15,5,과학 교과 연수,과학과 학년별 교육과정을 이해하는데 큰 도움이 됩니다.  선생님들께도 추천하고 싶은 연수였네요. ,교과지도,무료,유초등,1
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",15차시,2023-12-15,5,이탈리아는 처음이지!!,이탈리아를 깊이 이해하고 알아가는데 도움이 되었습니다. ,자기계발,"50,000원",전체대상,1
"우리 반 마음 탐구, 교실 심리학",30차시,2023-12-15,5,시야를 넓혀주는 연수,혼자서 고민했다면 생각하지 못했을 원인분석과 다양한 방안을 제시해줍니다.,생활지도,"85,000원",유초등,1
야나두 미국에서 한 달 살기- 현지 토크 편,15차시,2023-12-15,5,일상 생활 속에서 사용되는 영어를 익히는데  도움이 되었습니다.,일상 생활 속에서 사용되는 영어를 익히는데  도움이 되었습니다.,어학,"40,000원",전체대상,1
즐겁고 건강한 줄넘기 수업 만들기,30차시,2023-12-15,5,영어 뿐 아니라 다른 모든 언어도...,기본적으로 언어 습득 방법을  다시 한 번 가볍게 들으며 정리할 수 있어 좋습니다. ,생활지도,"75,000원",유초등,1
조병영의 문해력 수업,30차시,2023-12-15,5,좋아요,"문해력에 관심이 많았는데, 연수를 통해서 큰 맥락을 이해할 수 있었습니다.",학습지도,"75,000원",전체대상,1
최민준&김택수의 위대한 녀석들,15차시,2023-12-15,5,쉽게 듣기 좋아요.,남자 아이들을 이해하는데 도움이 되었습니다.,생활지도,"40,000원",유초등,1
"4R'S로 키우는 힘, 기초학력교육",30차시,2023-12-15,5,도움이 많이 되었습니다.,학습 부진 학생들을 지도하는데 도움이 되는 이야기가 많았습니다.,학습지도,"75,000원",유초등,1
[집밥 한 끼] 맛있는 다이어트 + 건강한 밥상,15차시,2023-12-15,5,재밌게 들었어요.,"다양한 직무연수가 생기니 좋네요. 부담없이 들으면서도 실생활과 실과시간에 활용할 수 있는 다양한 요리방법을 알게되었습니다_x000D_
",자기계발,"40,000원",전체대상,1
신혜은의 세계여행 톡톡,15차시,2023-12-15,5,연수를 듣고,앉아서 세계를 여행을 하는 좋은 기회였습니다. 감사합니다.,자기계발,"40,000원",전체대상,1
"학습격차, 차이를 넘어 함께 성장하기",15차시,2023-12-15,5,학급 내 다양한 격차가 있는 학생들을 위한 연수,학급 내 다양한 격차가 있는 학생들을 위한 연수,학습지도,"40,000원",유초등,1
시원스쿨 생기초 말하기 1,30차시,2023-12-15,5,큰도움됨,바람직한 연수였습니다.,어학,"75,000원",전체대상,1
소중한 아이들을 위한 행복한 성교육,30차시,2023-12-15,5,실전 활용 가능 연수,"역사적 배경부터 외국 현황, 비교로 그 의미까지 이해할 수 있도록_x000D_
자세하고 쉽게 정리해 설명해 주셔서 정말 감동이었습니다._x000D_
수업 준비에 너무 큰 도움이 되었습니다._x000D_
방학동안 내용 꼭꼭 씹어 소화 잘 할 수 있도록 _x000D_
복습하여 제 것으로 만들어보려 합니다._x000D_
좋은 연수 만들어 주셔서 깊이 감사드립니다.",생활지도,"75,000원",전체대상,1
"공간의 재발견, 정리의 힘",15차시,2023-12-15,5,유용한 연수입니다,"가정, 학교에서 활용하기에 유용한 정리 팁이 많아서 좋았습니다",자기계발,"40,000원",전체대상,1
알면 편한 심리학 with 유미의 세포들,30차시,2023-12-15,5,쉽고 재미있는 심리학 강의,유미의 세포들을 통해 즐겁고 유익한 심리학 강의를 들었습니다. 심화편도 만들어주시면 좋을 것 같습니다~! 다시 듣고 싶은 심리학 연수입니다~^^,자기계발,"75,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2023-12-15,5,실속교육,진짜 실속있고 필요한 내용을 담아 교육하니 좋습니다,ICT,"40,000원",전체대상,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2023-12-15,4,수양,해도 해도 계속 생겨나는 업무에  마우스 내려두고 간만에 펜을 잡고 힐링합니다. 정신 수양에 도움 됩니다.,자기계발,"40,000원",전체대상,0
소중한 아이들을 위한 행복한 성교육,30차시,2023-12-15,5,소중한 아이들을 위한 행복한 성교육,"현장에서 응용할 수 있고, 수업에도 필요한 내용을 재미있게 잘 구성하여 도움이 많이 되었습니다. _x000D_
성교육이 더 풍성해지고 재미있고 유익하게 할 수 있을것 같아요. 감사합니다. ",생활지도,"75,000원",전체대상,1
소설 파친코와 썬킴의 한국근현대사,15차시,2023-12-15,5,너무 의미있는 강의입니다.,물 흐르듯이 연결되는 썬킨님의 이야기를 들으며 근현대사를 정리할 수 있었습니다. 시간 가는 줄 모르고 연수 들었네요~ 연수 추천합니다!,교과지도,"50,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2023-12-15,5,좋은 연수 갑사합니다.,디지털 강의를 처음 도전하시는 분들께 추천합니다.,ICT,"40,000원",전체대상,1
허쌤&나쌤의 승승장구 학급경영,30차시,2023-12-15,5,감사합니다.,많이 배웠습니다. 추천합니다.,학급경영,"75,000원",유초등,1
수업이 막막할 땐 성공 보장 수업 스킬,30차시,2023-12-15,5,아이들이 주인공이 되는 수업,지루한 수업이 아니라 아이들이 적극적으로 참여할 수 있도록 이끌어 줄 수 있는 연수네요~ 토론에도 부담이 있었는데 모서리 토론부터 시작해봐야겠어요~실천의 용기가 생기는 연수~감사합니다,학습지도,"85,000원",유초등,1
흔들리지 않는 교실을 위한 단호한 학급운영,30차시,2023-12-14,5,나의 학급운영 방식을 되돌아보는 연수,이번 연수를 통해 나의 학급운영 방식을 되돌아보고 좀 더 의미있는 방향으로 나아갈 수 있는 힘과 용기가 생겼다.,학급경영,"85,000원",유초등,1
"힐링여행, 유네스코 세계문화유산을 찾아서",60차시,2023-12-14,5,재미있는 연수,"전 세계를 돌아보는, 힐링되는 연수입니다.",자기계발,"130,000원",전체대상,1
